state,diesel,e10,e5
Baden-Württemberg,1.7533374209371368,1.6887466115915837,1.7863201239189364
Bayern,1.7808940652818992,1.624228387734916,1.7748252225519288
Berlin,1.7609043103448276,1.7561905172413794,1.8193724137931035
Brandenburg,1.7729284712482467,1.6802377279102383,1.7927952314165496
Bremen,1.7368071065989847,1.7483654822335026,1.8258680203045687
Hamburg,1.7613425287356321,1.7690183908045978,1.8530045977011496
Hessen,1.7471778406617327,1.6814207662168046,1.8026114497170223
Mecklenburg-Vorpommern,1.756492733564014,1.5825522491349482,1.7152089965397923
Niedersachsen,1.7442542704394315,1.5874904159603598,1.7749402790455078
Nordrhein-Westfalen,1.7232443047276884,1.6629157344655834,1.770532293622928
Rheinland-Pfalz,1.7208573294156055,1.6624348677766896,1.7737371857655895
Saarland,1.7244947683109118,1.6731150971599402,1.7802840059790732
Sachsen-Anhalt,1.7452586412395708,1.5565744934445767,1.695897497020262
Schleswig-Holstein,1.761931818181818,1.6191534090909092,1.7884939123376624
Thüringen,1.7633794037940378,1.6346829268292684,1.7900252935862693
